BBG Code,Ticker,MAIN UN
IOO UP,IOO,UP
IVV UP,IVV,UP
IWM UP,IWM,UP
IWV UP,IWV,UP
KBE UP,KBE,UP
LQD UP,LQD,UP
MDY UP,MDY,UP
OIH UP,OIH,UP
RWO UP,RWO,UP
SLV UP,SLV,UP
SPIB UP,SPIB,UP
SPTL UP,SPTL,UP
SPY UP,SPY,UP
TIP UP,TIP,UP
URTH UP,URTH,UP
VIOO UP,VIOO,UP
VNQ UP,VNQ,UP
VOO UP,VOO,UP
VYM UP,VYM,UP
XBI UP,XBI,UP
XLE UP,XLE,UP
XLF UP,XLF,UP
XLK UP,XLK,UP
XLU UP,XLU,UP
XLV UP,XLV,UP
XME UP,XME,UP
XOP UP,XOP,UP
DIA UP,DIA,UP
KRE UP,KRE,UP
ARKK UP,ARKK,UP
IHI UP,IHI,UP
SCC UP,SCC,UP
MINT UP,MINT,UP
VIS UP,VIS,UP
DBS UP,DBS,UP
CRBN UP,CRBN,UP
SPSB UP,SPSB,UP
HART UP,HART,UP
CORP UP,CORP,UP
HYLD UP,HYLD,UP
IDNA UP,IDNA,UP
QDIV UP,QDIV,UP
ROBO UP,ROBO,UP
EZJ UP,EZJ,UP
IG UP,IG,UP
INCO UP,INCO,UP
INDF UP,INDF,UP
GBF UP,GBF,UP
INFL UP,INFL,UP
JPN UP,JPN,UP
TFI UP,TFI,UP
RXL UP,RXL,UP
SCHP UP,SCHP,UP
BAR UP,BAR,UP
UMI UP,UMI,UP
COMB UP,COMB,UP
PBW UP,PBW,UP
BLOK UP,BLOK,UP
BDO UO,BDO,UO
XPEV UN,XPEV,UN
SRG UN,SRG,UN
INFY UN,INFY,UN
C UN,C,UN
DAL UN,DAL,UN
JPM UN,JPM,UN
UNH UN,UNH,UN
BAC UN,BAC,UN
BK UN,BK,UN
BLK UN,BLK,UN
GS UN,GS,UN
KMI UN,KMI,UN
SCHW UN,SCHW,UN
USB UN,USB,UN
AA UN,AA,UN
STZ UN,STZ,UN
IBM UN,IBM,UN
JNJ UN,JNJ,UN
WFC UN,WFC,UN
ABT UN,ABT,UN
LEN UN,LEN,UN
HON UN,HON,UN
MS UN,MS,UN
PM UN,PM,UN
TSM UN,TSM,UN
UNP UN,UNP,UN
AXP UN,AXP,UN
KO UN,KO,UN
KSU UN,KSU,UN
MAN UN,MAN,UN
SLB UN,SLB,UN
STT UN,STT,UN
SYF UN,SYF,UN
HAL UN,HAL,UN
EDU UN,EDU,UN
EQR UN,EQR,UN
KMB UN,KMB,UN
LMT UN,LMT,UN
MCD UN,MCD,UN
NUE UN,NUE,UN
PG UN,PG,UN
SKX UN,SKX,UN
SNAP UN,SNAP,UN
TRV UN,TRV,UN
UPS UN,UPS,UN
ANTM UN,ANTM,UN
APH UN,APH,UN
BA UN,BA,UN
BSX UN,BSX,UN
BX UN,BX,UN
CAT UN,CAT,UN
CLF UN,CLF,UN
CMG UN,CMG,UN
EW UN,EW,UN
FCX UN,FCX,UN
HLT UN,HLT,UN
HRI UN,HRI,UN
IVZ UN,IVZ,UN
LLY UN,LLY,UN
LVS UN,LVS,UN
NSC UN,NSC,UN
TMO UN,TMO,UN
WM UN,WM,UN
BAX UN,BAX,UN
CX UN,CX,UN
DHR UN,DHR,UN
DOW UN,DOW,UN
F UN,F,UN
JNPR UN,JNPR,UN
LUV UN,LUV,UN
MMM UN,MMM,UN
NOC UN,NOC,UN
NOK UN,NOK,UN
PAC UN,PAC,UN
PBR UN,PBR,UN
PCG UN,PCG,UN
SWN UN,SWN,UN
TAL UN,TAL,UN
TV UN,TV,UN
TWTR UN,TWTR,UN
V UN,V,UN
VALE UN,VALE,UN
VLO UN,VLO,UN
ABEV UN,ABEV,UN
BCS UN,BCS,UN
COF UN,COF,UN
ITW UN,ITW,UN
KOF UN,KOF,UN
PSX UN,PSX,UN
VFC UN,VFC,UN
VZ UN,VZ,UN
IBN UN,IBN,UN
FMX UN,FMX,UN
HSBC UN,HSBC,UN
NOV UN,NOV,UN
SPOT UN,SPOT,UN
T UN,T,UN
VNO UN,VNO,UN
WELL UN,WELL,UN
BP UN,BP,UN
COP UN,COP,UN
ETN UN,ETN,UN
GLW UN,GLW,UN
GM UN,GM,UN
GNW UN,GNW,UN
HLF UN,HLF,UN
K UN,K,UN
MA UN,MA,UN
MRK UN,MRK,UN
PFE UN,PFE,UN
PSA UN,PSA,UN
SLCA UN,SLCA,UN
SYK UN,SYK,UN
TPR UN,TPR,UN
VMC UN,VMC,UN
HCA UN,HCA,UN
ALL UN,ALL,UN
BABA UN,BABA,UN
BKR UN,BKR,UN
CF UN,CF,UN
DDD UN,DDD,UN
ETR UN,ETR,UN
GE UN,GE,UN
H UN,H,UN
HES UN,HES,UN
MCK UN,MCK,UN
MET UN,MET,UN
MGM UN,MGM,UN
RSG UN,RSG,UN
SO UN,SO,UN
SPG UN,SPG,UN
TOT UN,TOT,UN
X UN,X,UN
YUM UN,YUM,UN
YUMC UN,YUMC,UN
ADM UN,ADM,UN
AIG UN,AIG,UN
AMT UN,AMT,UN
BBD UN,BBD,UN
BMY UN,BMY,UN
BWA UN,BWA,UN
CI UN,CI,UN
DD UN,DD,UN
EL UN,EL,UN
FLR UN,FLR,UN
ICE UN,ICE,UN
MO UN,MO,UN
MUR UN,MUR,UN
RDS/A UN,RDS/A,UN
XYL UN,XYL,UN
ABBV UN,ABBV,UN
CL UN,CL,UN
CVX UN,CVX,UN
D UN,D,UN
RDY UN,RDY,UN
WU UN,WU,UN
XOM UN,XOM,UN
VIPS UN,VIPS,UN
DHI UN,DHI,UN
ERJ UN,ERJ,UN
LIN UN,LIN,UN
TSN UN,TSN,UN
MBT UN,MBT,UN
TTM UN,TTM,UN
WMT UN,WMT,UN
HD UN,HD,UN
KSS UN,KSS,UN
MDT UN,MDT,UN
TJX UN,TJX,UN
LB UN,LB,UN
LOW UN,LOW,UN
TGT UN,TGT,UN
GPS UN,GPS,UN
JWN UN,JWN,UN
M UN,M,UN
QD UN,QD,UN
BBY UN,BBY,UN
ANF UN,ANF,UN
CRM UN,CRM,UN
DE UN,DE,UN
HPQ UN,HPQ,UN
PANW UN,PANW,UN
PVH UN,PVH,UN
BRK/A UN,BRK/A,UN
BRK/B UN,BRK/B,UN
ITUB UN,ITUB,UN
OXY UN,OXY,UN
PRU UN,PRU,UN
PXD UN,PXD,UN
SYY UN,SYY,UN
UA UN,UA,UN
UAA UN,UAA,UN
BDX UN,BDX,UN
DVN UN,DVN,UN
EMR UN,EMR,UN
MOS UN,MOS,UN
NEM UN,NEM,UN
NUS UN,NUS,UN
VIV UN,VIV,UN
WLL UN,WLL,UN
ALB UN,ALB,UN
CVS UN,CVS,UN
MRO UN,MRO,UN
ROK UN,ROK,UN
SPR UN,SPR,UN
SQ UN,SQ,UN
ZTO UN,ZTO,UN
APD UN,APD,UN
DIS UN,DIS,UN
EOG UN,EOG,UN
JCI UN,JCI,UN
RL UN,RL,UN
TDC UN,TDC,UN
TEVA UN,TEVA,UN
TM UN,TM,UN
DUK UN,DUK,UN
KR UN,KR,UN
ORCL UN,ORCL,UN
FDX UN,FDX,UN
ACN UN,ACN,UN
CCL UN,CCL,UN
GIS UN,GIS,UN
NKE UN,NKE,UN
GWRE UN,GWRE,UN
GME UN,GME,UN
OMC UN,OMC,UN
AMX UN,AMX,UN
BHP UN,BHP,UN
SU UN,SU,UN
DG UN,DG,UN
HDB UN,HDB,UN
NOW UN,NOW,UN
UBER UN,UBER,UN
DB UN,DB,UN
GOLD UN,GOLD,UN
PTR UN,PTR,UN
MCO UN,MCO,UN
NIO UN,NIO,UN
RACE UN,RACE,UN
SAVE UN,SAVE,UN
ATI UN,ATI,UN
SHOP UN,SHOP,UN
RH UN,RH,UN
LMND UN,LMND,UN
SHAK UN,SHAK,UN
RTX UN,RTX,UN
TDOC UN,TDOC,UN
SE UN,SE,UN
NEE UN,NEE,UN
FIS UN,FIS,UN
GPN UN,GPN,UN
PLD UN,PLD,UN
CTVA UN,CTVA,UN
SNOW UN,SNOW,UN
PHG UN,PHG,UN
WORK UN,WORK,UN
FSLY UN,FSLY,UN
CLX UN,CLX,UN
PINS UN,PINS,UN
PLTR UQ,PLTR,UQ
U UN,U,UN
AMC UN,AMC,UN
NCLH UN,NCLH,UN
QS UN,QS,UN
IQV UN,IQV,UN
AWR UN,AWR,UN
LYB UN,LYB,UN
BCC UN,BCC,UN
FTCH UN,FTCH,UN
UMC UN,UMC,UN
BBL UN,BBL,UN
KTB UN,KTB,UN
BCH UN,BCH,UN
LH UN,LH,UN
CPF UN,CPF,UN
TU UN,TU,UN
BH UN,BH,UN
SAND UN,SAND,UN
BKT UN,BKT,UN
SAN UN,SAN,UN
BBVA UN,BBVA,UN
HOME UN,HOME,UN
CAF UN,CAF,UN
TEF UN,TEF,UN
KEP UN,KEP,UN
SPH UN,SPH,UN
FCT UN,FCT,UN
SMM UN,SMM,UN
CAPL UN,CAPL,UN
SCI UN,SCI,UN
STE UN,STE,UN
CIT UN,CIT,UN
ST UN,ST,UN
ROG UN,ROG,UN
CFR UN,CFR,UN
AC UN,AC,UN
SM UN,SM,UN
TEL UN,TEL,UN
DNB UN,DNB,UN
DSM UN,DSM,UN
MT UN,MT,UN
ATC UN,ATC,UN
GAM UN,GAM,UN
SDHY UN,SDHY,UN
GSK UN,GSK,UN
CPG UN,CPG,UN
CNA UN,CNA,UN
RIO UN,RIO,UN
WPP UN,WPP,UN
FERG UN,FERG,UN
ASC UN,ASC,UN
INFO UN,INFO,UN
TEN UN,TEN,UN
TRN UN,TRN,UN
G UN,G,UN
UNVR UN,UNVR,UN
CRH UN,CRH,UN
SAP UN,SAP,UN
MTX UN,MTX,UN
LEG UN,LEG,UN
ADS UN,ADS,UN
DTE UN,DTE,UN
HEI UN,HEI,UN
ALV UN,ALV,UN
EEA UN,EEA,UN
ESE UN,ESE,UN
STN UN,STN,UN
WAT UN,WAT,UN
MC UN,MC,UN
BB UN,BB,UN
FTI UN,FTI,UN
STM UN,STM,UN
ORA UN,ORA,UN
AIR UN,AIR,UN
CNP UN,CNP,UN
TRI UN,TRI,UN
KN UN,KN,UN
ACA UN,ACA,UN
AI UN,AI,UN
CAP UN,CAP,UN
EDF UN,EDF,UN
ATO UN,ATO,UN
CS UN,CS,UN
FR UN,FR,UN
OR UN,OR,UN
CRI UN,CRI,UN
RF UN,RF,UN
CO UN,CO,UN
ERF UN,ERF,UN
QSR UN,QSR,UN
BCE UN,BCE,UN
BNS UN,BNS,UN
NTR UN,NTR,UN
CNQ UN,CNQ,UN
RY UN,RY,UN
TD UN,TD,UN
EURN UN,EURN,UN
TNET UN,TNET,UN
EBS UN,EBS,UN
PSTG UN,PSTG,UN
COUR UN,COUR,UN
QSR UN,QSR,UN
INDA UF,INDA,UF
